from,to,month,count
4215025,4393742,August,182
2585317,2585391,August,181
2585381,2585398,August,181
2585425,4393742,August,181
2585278,2585285,August,180
2586014,2586018,August,180
2585961,2585939,August,178
2585963,2585466,August,178
2586044,2585344,August,178
2585771,2585770,August,177
2585802,2585791,August,176
2585883,2585897,August,175
44581598,2585313,August,175
2585275,2585283,August,174
2585770,2585771,August,174
2586018,2586021,August,174
2586018,4393742,August,174
2586021,2586018,August,174
2585791,2585802,August,173
2585937,2585932,August,173
2585956,2585466,August,173
2585799,2585800,August,172
2585466,2585963,August,171
2585313,2585299,August,170
2585398,2585391,August,170
2585476,2585452,August,170
2585770,2585749,August,170
2585932,2585476,August,169
2681601,2585286,August,169
2585263,2585267,August,168
2585346,2585304,August,168
2585381,2585417,August,168
2586019,2586018,August,168
2585281,2585267,August,167
2585779,2585802,August,166
2585860,2585863,August,165
2586000,2585996,August,165
2586001,2586000,August,165
2585345,2585931,August,164
2585776,2585779,August,164
2585283,2585286,August,163
2585897,2585883,August,163
2586042,2586045,August,163
2586044,2586042,August,163
2585271,2585273,August,162
2585398,2585381,August,162
2585432,2585868,August,162
2585466,2585997,August,162
2585821,2585820,August,162
2586042,2586044,August,162
2585774,2585837,August,161
2585781,2585770,August,161
2585838,2585837,August,161
2585749,2585770,August,159
2586045,2586042,August,159
2585307,2681601,August,158
2585452,2585939,August,158
2585837,2585827,August,158
2586021,2586024,August,158
2585728,2585779,August,157
2585824,2585749,August,157
2585906,2585899,August,157
2586021,2586034,August,157
2585306,2681601,August,156
2585837,2585838,August,156
2586011,2586021,August,156
2585281,2585873,August,155
2585897,2585899,August,155
2585913,2585897,August,155
2585837,2585774,August,154
4393742,2586001,August,154
2585291,2585286,August,153
2585899,2585897,August,153
4393742,2585699,August,153
2585288,2585285,August,152
2585389,2585381,August,152
2585932,2585452,August,152
2585978,2586021,August,152
2585345,44581598,August,151
2585936,2585937,August,151
2585283,2585275,August,150
2585308,2585306,August,150
2585340,2585369,August,150
2585466,2585972,August,150
2585839,2585432,August,150
2585899,2585906,August,150
2586021,2585978,August,150
2586021,2586011,August,150
2585452,2585932,August,149
2585850,2585846,August,149
2585893,2585883,August,149
2585920,2585911,August,149
4393742,2585708,August,149
2585265,2585259,August,148
2585466,2585958,August,148
2585931,2585345,August,148
2585369,2585340,August,147
2585708,4393742,August,147
2585771,2585749,August,147
2585804,4393742,August,147
2585926,2585911,August,147
2585972,2585466,August,147
2585781,2585749,August,146
2585800,2585802,August,146
2585267,2585263,August,145
2585466,2585990,August,145
2586024,2586021,August,145
2681601,2585288,August,145
2681672,2585346,August,145
2585330,2681601,August,144
2585286,2585288,August,143
2585712,2585453,August,143
2585779,2585776,August,143
2585992,2586028,August,143
2586000,2585995,August,143
163208604,2585843,August,143
2585273,2585271,August,142
2585846,2585844,August,142
2585897,2585913,August,141
2585762,2585749,August,140
2585843,163208604,August,140
4393742,2585804,August,140
2585779,2585728,August,139
2585802,2585835,August,139
2585883,2585893,August,139
2585919,2585345,August,139
2585286,2585283,August,138
2585800,2585799,August,138
2585835,2585802,August,138
2586009,2586021,August,138
2586032,2586021,August,138
2681601,2585330,August,138
2585450,4393742,August,137
2585937,2585936,August,137
2586021,2586009,August,137
2586034,2586021,August,137
2585259,2585265,August,136
2585271,2585263,August,136
2585868,2585432,August,136
2585942,2585953,August,135
2586044,2585978,August,135
44583483,2585267,August,135
2585286,2585291,August,134
2585789,2585779,August,134
2585997,2585466,August,134
2586001,4393742,August,134
2681601,2585356,August,134
448565,2585838,August,133
2585285,2585307,August,133
2585289,2585285,August,133
2585321,2681601,August,133
2585897,2585875,August,133
4393742,4215025,August,133
2585273,2585873,August,132
2585432,2585860,August,132
2585779,2585789,August,132
2585799,2585788,August,132
2585863,2585860,August,132
2585873,2585281,August,132
2585941,2585894,August,132
2585391,2585381,August,131
2585466,2585956,August,131
2585876,2585885,August,131
2585883,2585905,August,131
4393742,2585747,August,131
2585432,2585839,August,130
2585476,2585928,August,130
2585799,2585802,August,130
2585838,448565,August,130
2585990,2585466,August,130
2586024,2586018,August,130
4393742,2586018,August,130
2585319,2585351,August,129
2585341,2585369,August,129
2585345,2585742,August,129
2585779,2585791,August,129
2585875,2585897,August,129
2585947,2585942,August,129
2585958,2585956,August,129
2585281,44581598,August,128
2585417,2585317,August,128
2585452,2585476,August,128
2585811,2585860,August,128
2585824,2585770,August,128
2585860,2585811,August,128
2585958,2585466,August,128
2585286,2681601,August,127
2585288,2681601,August,127
2585789,2585800,August,127
2585928,2585476,August,127
2586022,4393742,August,127
2585380,2585417,August,126
2585749,2585762,August,126
2585850,2585837,August,126
2585897,2585868,August,126
2586028,2585992,August,126
2681601,2585306,August,126
44581598,2585301,August,126
2585742,2585345,August,125
2585837,2585848,August,125
2585894,2585941,August,125
2585906,2585913,August,125
2585267,44583483,August,124
2585305,2585285,August,124
2585326,2681601,August,124
2585335,2681601,August,124
2585800,2585789,August,124
2585931,2585313,August,124
2585956,2585958,August,124
2585996,2586000,August,124
2681601,2585321,August,124
2585345,2585919,August,123
2585978,2586044,August,123
2585311,2585956,August,122
2585770,2585824,August,122
2585848,2585837,August,122
2586001,2586014,August,122
2681672,2585358,August,122
2585419,4393742,August,121
2585699,4393742,August,121
2585782,2585762,August,121
2585788,2585802,August,121
2585995,2586000,August,121
2586001,2586005,August,121
3318682,2585785,August,121
2585327,2585431,August,120
2585356,2681601,August,120
2585846,172294162,August,120
2585911,2585926,August,120
2585928,2585932,August,120
2586005,2586021,August,120
2586034,2585344,August,120
2586034,2585825,August,120
2585387,2585381,August,119
2585431,4393742,August,119
2585885,2585876,August,119
2586005,2586001,August,119
2585301,2585313,August,118
2585729,2585938,August,118
2585789,2585802,August,118
2585856,2585868,August,118
2585285,2585305,August,117
2585285,2681601,August,117
2585289,4215025,August,117
2585344,2586034,August,117
2585345,2585299,August,117
2585464,2585916,August,117
2585838,2585432,August,117
2585913,2585906,August,117
2586021,2586026,August,117
2586037,2585344,August,117
2681601,2585335,August,117
4215025,2585289,August,117
2585728,2585789,August,116
2585749,2585771,August,116
2585837,8746360,August,116
2585860,2585432,August,116
2585899,2585876,August,116
2585994,2585996,August,116
2585283,2681601,August,115
2585289,4393742,August,115
2585367,2681601,August,115
2585387,2681672,August,115
2585417,2585398,August,115
2585791,2585804,August,115
2585837,2585850,August,115
2585916,2585464,August,115
2586037,2586045,August,115
4585378,2585774,August,115
2585267,2585275,August,114
2585281,2585301,August,114
2585285,2585284,August,114
2585288,2585286,August,114
2585387,2585317,August,114
2585398,2585453,August,114
2585825,2586034,August,114
2585899,2585916,August,114
2585911,2585922,August,114
2586000,2585994,August,114
2586026,2585344,August,114
4393742,2586022,August,114
2585285,2585291,August,113
2585327,4393742,August,113
2585876,2585883,August,113
2585932,2585928,August,113
2585996,2585994,August,113
2681601,2585285,August,113
2585275,2585267,August,112
2585394,2585317,August,112
2585883,2585899,August,112
2585916,2585899,August,112
2585281,2585263,August,111
2585285,2585288,August,111
2585369,2585341,August,111
2585942,2585947,August,111
2585978,2586032,August,111
2585994,2586000,August,111
2585307,2585291,August,110
2585311,2585321,August,110
2585344,2586026,August,110
2585453,2585398,August,110
2585839,2585835,August,110
2586014,2586021,August,110
2586018,2586024,August,110
2585285,2585289,August,109
2585291,2585288,August,109
2585788,2585779,August,109
2585794,2585785,August,109
2585368,2585398,August,108
2585704,2585450,August,108
2585804,2585791,August,108
2585835,2585432,August,108
2585860,2585856,August,108
2585888,2585883,August,108
2585919,2585358,August,108
2585951,2585954,August,108
4393742,2585327,August,108
2585263,2585281,August,107
2585284,2585285,August,107
2585311,2585326,August,107
2585313,2585301,August,107
2585351,2585319,August,107
2585708,2585450,August,107
2585837,448565,August,107
2585843,2585982,August,107
2585911,2585920,August,107
2585984,2585387,August,107
2586018,2586005,August,107
4393742,2586005,August,107
52488396,2585317,August,107
448565,2585837,August,106
2585291,2585307,August,106
2585313,2585931,August,106
2585346,2585387,August,106
2585369,2585337,August,106
2585425,2585378,August,106
2585905,2585883,August,106
2585992,2586034,August,106
2586018,2586001,August,106
4393742,2585430,August,106
44581598,2585345,August,106
2585263,2585271,August,105
2585380,2585317,August,105
2585748,2585978,August,105
2585830,2585838,August,105
2585839,2585838,August,105
2585883,2585888,August,105
2585956,2585963,August,105
4215025,2585748,August,105
2585289,2585327,August,104
2585307,2585285,August,104
2585327,2585466,August,104
2585378,2585425,August,104
2585430,2585379,August,104
2585466,2585954,August,104
2585466,4393742,August,104
2585774,4585378,August,104
2585802,2585748,August,104
2585288,2585283,August,103
2585333,2681601,August,103
2585432,2585835,August,103
2585814,2585809,August,103
2585856,2585860,August,103
2585924,2585911,August,103
2585285,2585286,August,102
2585301,44581598,August,102
2585358,2681672,August,102
2585387,2585346,August,102
2585408,2585433,August,102
2585749,2585776,August,102
2585838,2585800,August,102
2585856,2585897,August,102
2586001,2586018,August,102
2586011,3110680,August,102
2681601,2585337,August,102
2585267,2585446,August,101
2585297,2585291,August,101
2585387,2585360,August,101
2585398,2585368,August,101
2585748,2585431,August,101
2585771,2585824,August,101
4393742,2585987,August,101
2585367,2585406,August,100
2585433,2585408,August,100
2585802,2585804,August,100
2585922,2585911,August,100
2585960,2585956,August,100
2585961,2585937,August,100
2585992,2585825,August,100
2586026,2586021,August,100
4393742,2585289,August,100
4393742,2585466,August,100
2585373,2586026,August,99
2585788,2585799,August,99
2585824,2585771,August,99
2585848,2585838,August,99
2585905,2585908,August,99
2586001,2586022,August,99
4393742,2585921,August,99
2585317,2585387,August,98
2585450,2585704,August,98
2585785,2585794,August,98
2585787,2585837,August,98
2585876,172293631,August,98
2585931,44581598,August,98
2586021,2586028,August,98
2585273,2585267,August,97
2585327,2585289,August,97
2585450,2585708,August,97
2585466,2586005,August,97
2585804,2585748,August,97
2585875,2585905,August,97
2585905,2585899,August,97
2585931,2681672,August,97
2585995,2585994,August,97
2586021,2586005,August,97
2585286,2585285,August,96
2585291,2585297,August,96
2585313,2585304,August,96
2585344,2586042,August,96
2585405,2681601,August,96
2585431,2585748,August,96
2585747,4393742,August,96
2585954,2585951,August,96
2586022,2586024,August,96
2586034,2585992,August,96
44581598,2585281,August,96
2585304,44581598,August,95
2585308,2585305,August,95
2585313,2585281,August,95
2585351,2585387,August,95
2585394,2585398,August,95
2585466,2585975,August,95
2585825,2585992,August,95
2585893,2585901,August,95
2585899,2585905,August,95
2585916,2585905,August,95
2586028,2586026,August,95
2586032,2585978,August,95
2585311,2585307,August,94
2585317,2585380,August,94
2585337,2681601,August,94
2585358,2585919,August,94
2585381,2585387,August,94
2585408,2585317,August,94
2585748,2585921,August,94
2585787,2585774,August,94
2585809,2585814,August,94
2585868,2585856,August,94
2585905,2585916,August,94
2585983,2585960,August,94
2586005,2585466,August,94
2586021,2586044,August,94
2586045,2586037,August,94
2681601,2585297,August,94
2681672,2585315,August,94
2585271,2585267,August,93
2585288,2585307,August,93
2585367,2585405,August,93
2585417,2585380,August,93
2585728,2585802,August,93
2585939,2585961,August,93
2585996,2585995,August,93
2585997,2586000,August,93
2586044,2586037,August,93
2681672,2585387,August,93
2585267,2585271,August,92
2585286,2585307,August,92
2585319,2681601,August,92
2585408,52488396,August,92
2585452,2585928,August,92
2585728,2585776,August,92
2585830,2585800,August,92
2585928,2585452,August,92
2585983,2585929,August,92
2585987,2585956,August,92
2586022,2586037,August,92
2586044,2586021,August,92
2585317,2585394,August,91
2585344,2586045,August,91
2585387,2585984,August,91
2585430,4393742,August,91
2585748,2585802,August,91
2585776,2585764,August,91
2585799,4585378,August,91
2585837,2585787,August,91
2585937,2585928,August,91
2585968,2585466,August,91
2585982,2585843,August,91
2586003,2586021,August,91
2586005,2586009,August,91
2585301,2585281,August,90
2585317,2585389,August,90
2585368,2585453,August,90
2585419,2585425,August,90
2585853,2585280,August,90
2585911,2585924,August,90
2585956,2585311,August,90
2585975,2585466,August,90
2586026,2586034,August,90
2585283,2585281,August,89
2585307,2585311,August,89
2585315,2585387,August,89
2585346,2585269,August,89
2585387,2585351,August,89
2585398,2585394,August,89
2585467,2585469,August,89
2585771,2585781,August,89
2585876,2585899,August,89
2585919,2585380,August,89
2585985,2585963,August,89
2586028,2586021,August,89
2586042,2585344,August,89
2681601,2585405,August,89
3110680,2586011,August,89
2585785,3318682,August,88
2585800,2585838,August,88
2585883,2585876,August,88
2585908,2585905,August,88
2586026,2585373,August,88
2585317,2585408,August,87
2585373,3110680,August,87
2585789,2585728,August,87
2585838,172294162,August,87
2585954,2585466,August,87
2586000,2585997,August,87
2586001,2585431,August,87
2586009,2586011,August,87
2586011,2586009,August,87
2586022,2586018,August,87
2586045,2586034,August,87
2681601,2585283,August,87
4393742,2585419,August,87
4393742,2585425,August,87
4393742,2586000,August,87
2585269,2585346,August,86
2585291,2585285,August,86
2585794,2585837,August,86
2585838,2585830,August,86
2585848,2585846,August,86
2585850,2585838,August,86
2585899,2585883,August,86
2585956,2585960,August,86
2586005,2586011,August,86
2586014,2586001,August,86
2586026,2586028,August,86
2681601,2585326,August,86
2681672,2585931,August,86
172294162,2585846,August,86
2585281,2585304,August,85
2585286,2585305,August,85
2585321,2585311,August,85
2585345,2585301,August,85
2585368,2585317,August,85
2585406,2585367,August,85
2585476,2585934,August,85
2585728,2585788,August,85
2585748,2586037,August,85
2585789,2585788,August,85
2585936,2585476,August,85
2585994,2585995,August,85
2586001,2586011,August,85
2586021,2586014,August,85
2681601,2585319,August,85
3110680,2586021,August,85
4393742,2585431,August,85
44583483,2585283,August,85
2585380,2585381,August,84
2585381,2585389,August,84
2585457,52488396,August,84
2585785,2585837,August,84
2585835,2585839,August,84
2585837,2585799,August,84
2585873,2585273,August,84
2585913,2585883,August,84
2585925,2585922,August,84
2585939,2585452,August,84
2585951,2585938,August,84
2586009,2586018,August,84
4585378,2585799,August,84
172293631,2585876,August,84
2585283,2585271,August,83
2585297,2585286,August,83
2585321,2585356,August,83
2585344,2586037,August,83
2585358,2585360,August,83
2585396,2585317,August,83
2585425,2585419,August,83
2585728,2585467,August,83
2585728,2585722,August,83
2585770,2585711,August,83
2585844,2585846,August,83
2585905,2585875,August,83
2585963,2585985,August,83
2585978,2586034,August,83
2585990,2585997,August,83
2586021,4393742,August,83
2586042,2585825,August,83
2681601,2585333,August,83
2585283,44583483,August,82
2585306,2585308,August,82
2585307,2585286,August,82
2585337,2585369,August,82
2585455,2585714,August,82
2585785,2585782,August,82
2585928,2585937,August,82
2585947,2585954,August,82
2585954,2585947,August,82
2585956,2585929,August,82
3470029,2585974,August,82
8746360,2585837,August,82
2585263,2585926,August,81
2585280,2585853,August,81
2585304,2585346,August,81
2585315,2681672,August,81
2585358,2585931,August,81
2585360,2585387,August,81
2585364,2585353,August,81
2585466,2586018,August,81
2585762,2585782,August,81
2585776,2585749,August,81
2585809,2585808,August,81
2585875,2585913,August,81
2585875,172293631,August,81
2585902,2585905,August,81
2585922,2585926,August,81
2585929,2585956,August,81
2585932,2585936,August,81
2585963,2585956,August,81
2585996,2585466,August,81
2586005,4393742,August,81
2586024,2586014,August,81
2586030,2585748,August,81
2586037,2586042,August,81
2681601,2585275,August,81
4393742,2585994,August,81
44581598,2585304,August,81
44583449,2585338,August,81
2585301,2585931,August,80
2585748,2585804,August,80
2585808,2585807,August,80
2585827,2585838,August,80
2585901,2585905,August,80
2585942,2585951,August,80
2585992,2586044,August,80
2586003,2586018,August,80
4215025,2585327,August,80
4393742,2586021,August,80
2585307,2585288,August,79
2585335,2585367,August,79
2585346,2585315,August,79
2585431,2585379,August,79
2585466,2585327,August,79
2585729,2585953,August,79
2585748,2586014,August,79
2585868,2585863,August,79
2585921,4393742,August,79
2585953,2585466,August,79
2585953,2585951,August,79
2585954,2585938,August,79
2585956,2585939,August,79
2585956,2585987,August,79
4215025,2585431,August,79
4393742,2585450,August,79
2585263,2585924,August,78
2585267,3470029,August,78
2585284,2585278,August,78
2585288,2585297,August,78
2585305,2585286,August,78
2585307,2585297,August,78
2585351,2585400,August,78
2585398,2585714,August,78
2585408,2585398,August,78
2585430,2585327,August,78
2585466,2585951,August,78
2585788,2585789,August,78
2585799,2585789,August,78
2585850,172293631,August,78
2585893,2585888,August,78
2585904,2585913,August,78
2585929,2585983,August,78
2585956,2585955,August,78
2585961,2585936,August,78
2586011,2586018,August,78
2586018,2586000,August,78
2586030,2586022,August,78
2586034,2585978,August,78
4585378,2585785,August,78
2585275,2585273,August,77
2585301,2585345,August,77
2585304,2585313,August,77
2585337,2585430,August,77
2585352,2681601,August,77
2585380,2585358,August,77
2585430,2585431,August,77
2585789,2585791,August,77
2585802,2585800,August,77
2585821,2585814,August,77
2585837,2585794,August,77
2585838,2585868,August,77
2585932,2585939,August,77
2585956,2681601,August,77
2586003,2586011,August,77
2586034,2586045,August,77
4393742,2586003,August,77
2585263,2585275,August,76
2585278,2585284,August,76
2585297,2681601,August,76
2585319,2585387,August,76
2585326,2585311,August,76
2585346,2585345,August,76
2585381,2585380,August,76
2585791,2585789,August,76
2585800,2585791,August,76
2585838,2585850,August,76
2585846,2585850,August,76
2585850,2585844,August,76
2585883,2585913,August,76
2585992,145175382,August,76
2586014,2585978,August,76
2586037,2586044,August,76
2681672,2585381,August,76
4393742,2586019,August,76
2585267,2585273,August,75
2585346,2585400,August,75
2585369,2585326,August,75
2585380,2585919,August,75
2585398,2585417,August,75
2585430,2585337,August,75
2585446,2585267,August,75
2585466,2585968,August,75
2585466,2585985,August,75
2585477,2585467,August,75
2585708,2585747,August,75
2585748,4215025,August,75
2585774,2585787,August,75
2585794,4585378,August,75
2585802,2585789,August,75
2585838,2585827,August,75
2585850,2585839,August,75
2585888,2585893,August,75
2585922,2585925,August,75
2586000,2586011,August,75
2586014,2586019,August,75
2586014,2586045,August,75
2586024,2586022,August,75
4393742,2585983,August,75
2585281,2585286,August,74
2585297,2585307,August,74
2585299,2585345,August,74
2585345,2585346,August,74
2585387,2585400,August,74
2585431,2585327,August,74
2585453,2585712,August,74
2585476,2585936,August,74
2585708,2585791,August,74
2585728,2585724,August,74
2585747,2585450,August,74
2585779,2585467,August,74
2585788,2585800,August,74
2585791,2585835,August,74
2585802,2585799,August,74
2585873,44583483,August,74
2585875,2585850,August,74
2585905,2585464,August,74
2585924,2585263,August,74
2585941,2585385,August,74
2585947,2585466,August,74
2585955,2585956,August,74
2585960,2585983,August,74
2585978,2586037,August,74
2586018,2586022,August,74
2586022,2586030,August,74
2586032,2586022,August,74
2586044,2585992,August,74
2681601,2585352,August,74
2681672,2585417,August,74
4585378,2585787,August,74
172293631,2585839,August,74
2585360,2585358,August,73
2585728,2585791,August,73
2585764,2585728,August,73
2585785,4585378,August,73
2585799,2585837,August,73
2585800,2585779,August,73
2585814,2585821,August,73
2585825,2586021,August,73
2585904,2585902,August,73
2585906,2585860,August,73
2585937,2585961,August,73
2586005,2586003,August,73
2586005,2586018,August,73
2586014,2586022,August,73
2586018,2585695,August,73
2586034,2586026,August,73
2681601,2585367,August,73
3110680,2585373,August,73
3318682,2585837,August,73
2585267,2585817,August,72
2585281,2585313,August,72
2585306,2585311,August,72
2585398,2585457,August,72
2585408,4393742,August,72
2585422,4393742,August,72
2585457,2585368,August,72
2585717,2585345,August,72
2585776,2585789,August,72
2585811,2585432,August,72
2585838,2585860,August,72
2585897,2585906,August,72
2585938,2585729,August,72
2586000,2585953,August,72
2586018,2586011,August,72
2586026,2586011,August,72
4393742,2585369,August,72
4585378,2585794,August,72
2585273,2585263,August,71
2585345,2585304,August,71
2585450,2585747,August,71
2585466,2585947,August,71
2585747,2585791,August,71
2585787,4585378,August,71
2585802,2585779,August,71
2585821,2585770,August,71
2585905,2585902,August,71
2585926,2585922,August,71
2585953,2585942,August,71
2585997,2585996,August,71
2586012,2585466,August,71
2586014,2585748,August,71
2586019,2586014,August,71
2586037,2586022,August,71
2585273,2585283,August,70
2585283,2585873,August,70
2585288,2585291,August,70
2585304,2585281,August,70
2585311,2585306,August,70
2585317,2681672,August,70
2585321,2585335,August,70
2585346,2585351,August,70
2585351,2585346,August,70
2585367,2585364,August,70
2585379,2585430,August,70
2585381,2585391,August,70
2585432,2585802,August,70
2585467,2585728,August,70
2585472,2585469,August,70
2585714,2585749,August,70
2585762,2585779,August,70
2585764,2585749,August,70
2585782,2585785,August,70
2585785,2585770,August,70
2585804,2585802,August,70
2585888,2585875,August,70
2585888,172295073,August,70
2585931,2585358,August,70
2586019,4393742,August,70
2681672,2585269,August,70
3110680,2586026,August,70
44583483,2585273,August,70
52488396,2585398,August,70
172295073,2585888,August,70
2585283,2585267,August,69
2585301,2585304,August,69
2585313,2681672,August,69
2585341,2585430,August,69
2585369,2585367,August,69
2585419,2585469,August,69
2585453,2585368,August,69
2585476,2585917,August,69
2585712,2585770,August,69
2585772,2585782,August,69
2585781,2585782,August,69
2585808,2585809,August,69
2585839,2585860,August,69
2585904,2585906,August,69
2585921,2585748,August,69
2585922,2585924,August,69
2585938,2585951,August,69
2585942,2585954,August,69
2585951,2585466,August,69
2585963,2585987,August,69
2585978,2586014,August,69
2585995,2585983,August,69
2586011,2586026,August,69
2586019,2586011,August,69
2586022,2586045,August,69
3470029,2585446,August,69
2585304,2585301,August,68
2585400,2585346,August,68
2585400,2585387,August,68
2585405,2585367,August,68
2585419,2585438,August,68
2585432,2585811,August,68
2585446,2585263,August,68
2585453,2585457,August,68
2585724,2585467,August,68
2585747,2585708,August,68
2585764,2585776,August,68
2585770,2585785,August,68
2585776,2585728,August,68
2585779,2585788,August,68
2585785,2585781,August,68
2585811,2585835,August,68
2585814,2585808,August,68
2585838,2585848,August,68
2585899,2585856,August,68
2585905,2585901,August,68
2585913,2585904,August,68
2585920,2585926,August,68
2585922,2585920,August,68
2585925,2585447,August,68
2585932,2585934,August,68
2585939,2585956,August,68
2585951,2585942,August,68
2585987,2585466,August,68
2585995,2585996,August,68
2586014,2586024,August,68
2586031,2585995,August,68
2586031,2585996,August,68
2586042,2586037,August,68
2681601,2585284,August,68
4393742,2585978,August,68
4393742,2586011,August,68
44581598,2585299,August,68
44581598,2585931,August,68
172293631,2585850,August,68
2585275,2585873,August,67
2585283,2585288,August,67
2585285,2585297,August,67
2585317,2585396,August,67
2585351,2681601,August,67
2585354,2681601,August,67
2585368,2585457,August,67
2585417,2681672,August,67
2585762,2585764,August,67
2585781,2585771,August,67
2585825,2586044,August,67
2585934,2585938,August,67
2585938,2585953,August,67
2585958,2585960,August,67
2585983,2586000,August,67
2586009,2586019,August,67
3318614,2585398,August,67
4313700,2585447,August,67
2585269,2681672,August,66
2585273,2585275,August,66
2585305,2681601,August,66
2585335,2585356,August,66
2585335,2585405,August,66
2585338,44583449,August,66
2585358,2585380,August,66
2585387,2585319,August,66
2585391,2585408,August,66
2585413,2585402,August,66
2585425,2585377,August,66
2585425,2585450,August,66
2585469,2585467,August,66
2585873,2585263,August,66
2585883,2585901,August,66
2585908,2585904,August,66
2585924,2585925,August,66
2585934,2585476,August,66
2585951,2585953,August,66
2585956,2585961,August,66
2585972,2585983,August,66
2585983,2585995,August,66
2585984,2585317,August,66
2585994,2585990,August,66
2585997,2586001,August,66
2586000,2585983,August,66
2586039,2585344,August,66
2586045,2585978,August,66
2586045,2586014,August,66
2681601,2585340,August,66
3470029,2585263,August,66
145175382,2585992,August,66
2585275,2585271,August,65
2585284,2585291,August,65
2585286,2585281,August,65
2585299,44581598,August,65
2585307,2585305,August,65
2585311,2585340,August,65
2585353,2585367,August,65
2585433,2585419,August,65
2585438,2585419,August,65
2585466,2585953,August,65
2585466,2585996,August,65
2585467,2585724,August,65
2585747,2585699,August,65
2585748,2586030,August,65
2585770,2585453,August,65
2585825,2586042,August,65
2585837,3318682,August,65
2585873,2585275,August,65
2585873,2585283,August,65
2585901,2585902,August,65
2585920,2585924,August,65
2585931,2585301,August,65
2585978,4393742,August,65
2585983,2585972,August,65
2585990,4393742,August,65
2585997,2585994,August,65
2586019,2586009,August,65
2586021,2586022,August,65
2586022,2586021,August,65
2586042,2586034,August,65
2585271,2585275,August,64
2585275,2585281,August,64
2585285,2585275,August,64
2585305,2585306,August,64
2585323,2585311,August,64
2585327,2585430,August,64
2585334,2681601,August,64
2585380,2585345,August,64
2585381,2681672,August,64
2585408,2585435,August,64
2585432,2585838,August,64
2585467,2585779,August,64
2585728,2585799,August,64
2585771,2585762,August,64
2585790,44583449,August,64
